"bill_id","status","title","link_id","proposer_type","proposed_date","decision_date","decision_result","has_summaries","status_detail"
"1904385","1","상호저축은행법 일부개정법률안(김광진의원 등 10인)","PRC_L1W3K0W4N0R4F1B4U2N3G2B2Q8H4J7","의원","2013-04-04","","","1","소관위접수"
"1904386","1","국가재정법 일부개정법률안(전병헌의원 등 13인)","PRC_A1H3E0K4N0C4K1J4G3G7V4X7E4D4U8","의원","2013-04-04","","","1","소관위접수"
"1904387","1","새만금사업 추진 및 지원에 관한 특별법 일부개정법률안(김관영의원 등 11인)","PRC_M1I3R0U4F0P4F1U5O1K9C2K2D4Y6F4","의원","2013-04-04","","","1","소관위접수"
"1904388","1","형법 일부개정법률안(박영선의원 등 11인)","PRC_M1F3W0C4L0K4Z1E7E4D8P2R8F0X8T9","의원","2013-04-04","","","1","소관위접수"
"1904389","1","감사원법 일부개정법률안(박영선의원 등 11인)","PRC_Y1C3B0J4G0S4Q1G7Q5X2Z3G2M8I6F2","의원","2013-04-04","","","1","소관위접수"
"1904390","1","국가재정법 일부개정법률안(김춘진의원 등 10인)","PRC_Y1X3T0N4Z0A4Z1Z8W0V2H4G7H6F2T9","의원","2013-04-04","","","1","소관위접수"
"1904391","1","배타적 경제수역에서의 외국인어업 등에 대한 주권적 권리의 행사에 관한 법률 일부개...","PRC_G1Q3C0O4A0Y4U1C8A0Z7S4G7K2D5A9","의원","2013-04-04","","","1","소관위접수"
"ZZ19066","1","공정거래위원회 위원장후보자(노대래) 인사청문요청안","PRC_P1Y3W0I4L0R4K0A8G5E7J1I5P5L8R2","기타","2013-04-04","","","0","소관위심사보고"
"1904392","1","정당법 일부개정법률안(김성곤의원 등 18인)","PRC_B1N3E0Q4L0J5M0K9W3A5V1V2L8Z7B7","의원","2013-04-05","","","1","소관위접수"
"1904393","1","철도건설법 일부개정법률안(조현룡의원 등 10인)","PRC_I1U3C0S4W0S5X1A0O1P8T4N0F4B2T6","의원","2013-04-05","","","1","소관위접수"
"1904394","2","유해화학물질 관리법 전부개정법률안(한정애의원 등 11인)","PRC_T1X3C0K4C0R5R1S0L5X9C4W1T7Q4N1","의원","2013-04-05","2013-05-07","대안반영폐기","1","대안반영폐기"
"1904395","1","금융지주회사법 일부개정법률안(김영주의원 등 16인)","PRC_N1K3M0X4F0J5J1J1D0Z1B0U9V9P8B9","의원","2013-04-05","","","1","소관위접수"
"1904396","1","식생활교육지원법 일부개정법률안(김상희의원 등 15인)","PRC_G1D3R0E4C0F5T1G1M3O0J4R3S5F2L3","의원","2013-04-05","","","1","소관위접수"
"1904397","1","상법 일부개정법률안(김영주의원 등 16인)","PRC_C1S3T0T4K0G5A1Q1U0B1D2R7P6R3V7","의원","2013-04-05","","","1","소관위접수"
"1904398","1","채무자 회생 및 파산에 관한 법률 일부개정법률안(김기식의원 등 13인)","PRC_X1O3R0Q4K0T5R1D3C1Q9A0I2Y9Q6H0","의원","2013-04-05","","","1","소관위접수"
"1904399","1","자본시장과 금융투자업에 관한 법률 일부개정법률안(김영주의원 등 16인)","PRC_B1X3Y0G4R0H5I1O3O2B2Y4D6F9C0Z5","의원","2013-04-05","","","1","소관위접수"
"1904400","1","신용정보의 이용 및 보호에 관한 법률 일부개정법률안(김기식의원 등 11인)","PRC_W1H3N0E4T0I5X1Y3O2C3D1F7E2V7O3","의원","2013-04-05","","","1","소관위접수"
"1904401","1","국민건강증진법 일부개정법률안(김상희의원 등 14인)","PRC_C1G3N0V4N0U5Q1N3P3M1N2H8P6F6U4","의원","2013-04-05","","","1","소관위접수"
"1904402","1","조세특례제한법 일부개정법률안(박상은의원 등 10인)","PRC_Z1E3Z0A4H0K5I1A3M3D8L0K9Y7M9C3","의원","2013-04-05","","","1","소관위접수"
"1904403","1","초·중등교육법 일부개정법률안(김상희의원 등 11인)","PRC_L1L3N0E4C0K5G1L3L5N0H1Q9H0J5E2","의원","2013-04-05","","","1","소관위접수"
"1904404","1","조세특례제한법 일부개정법률안(이인영의원 등 12인)","PRC_H1J3L0C4X0F5Y1Z4L3N1S3O8W2S6Z9","의원","2013-04-05","","","1","소관위접수"
"1904405","1","국민건강증진법 일부개정법률안(최동익의원 등 11인)","PRC_L1J3T0N4G0F5D1C4R3I9T3H5O5A3P9","의원","2013-04-05","","","1","소관위접수"
"1904406","1","공공기록물 관리에 관한 법률 일부개정법률안(박남춘의원 등 14인)","PRC_W1Q3V0U4P0A5S1O4C5X8P0D5E4G0J5","의원","2013-04-05","","","1","소관위접수"
"1904407","1","대통령기록물 관리에 관한 법률 일부개정법률안(박남춘의원 등 12인)","PRC_U1T3M0E4V0V5Z1X4X5H9U3O0K9Z4W9","의원","2013-04-05","","","1","소관위접수"
"1904408","1","도로교통법 일부개정법률안(이상일의원 등 10인)","PRC_L1H3Y0L4O0K5R1C5T0T1O1D1J7R0H4","의원","2013-04-05","","","1","소관위접수"
"1904409","1","법인세법 일부개정법률안(나성린의원 등 11인)","PRC_S1S3I0O4S0N5B1F5W1K2O4T0V7L7O2","의원","2013-04-05","","","1","소관위접수"
"1904410","1","어린이 식생활안전관리 특별법 일부개정법률안(김상희의원 등 14인)","PRC_H1V3F0F4M0W5L1E5Q2O2W1B3E2Z5J4","의원","2013-04-05","","","1","소관위접수"
"1904411","1","아동ㆍ청소년인권법안(김상희의원 등 22인)","PRC_G1B3X0K4K0K5D1O5E2R2W0R6C4T4M1","의원","2013-04-05","","","1","소관위접수"
"1904412","1","소득세법 일부개정법률안(나성린의원 등 11인)","PRC_D1D3O0Z4P0E5M1W5M3O9W2E9Y0F4G4","의원","2013-04-05","","","1","소관위접수"
"1904413","1","재외국민등록법 일부개정법률안(김성곤의원 등 13인)","PRC_R1Z3C0P4G0B5L1G5R4T5K1W7B0J4V4","의원","2013-04-05","","","1","소관위접수"
"1904414","1","공직선거법 일부개정법률안(김성곤의원 등 13인)","PRC_I1O3M0H4D0O5Q1E5T4I6N1N6P5H6S4","의원","2013-04-05","","","1","소관위접수"
"1904415","2","조세특례제한법 일부개정법률안(나성린의원 등 10인)","PRC_W1S3K0X4Y0R5T1Y5V4J7J4B7B5H5S6","의원","2013-04-05","2013-04-30","대안반영폐기","1","대안반영폐기"
"1904416","1","개발제한구역의 지정 및 관리에 관한 특별조치법 일부개정법률안(신장용의원 등 11인...","PRC_C1T3U0A4P0G5I1E5A5C0E5U8S3P8X5","의원","2013-04-05","","","1","소관위접수"
"1904417","1","석유 및 석유대체연료 사업법 일부개정법률안(신장용의원 등 12인)","PRC_U1I3L0O4W0P5A1H5D5O5F0G9T7K3I1","의원","2013-04-05","","","1","소관위접수"
"1904418","1","동학농민혁명 참여자 등의 명예회복에 관한 특별법 일부개정법률안(최규성의원 등 12인...","PRC_G1O3R0V4N0T5G1B6W0F5P1W4P8G8A0","의원","2013-04-05","","","1","소관위접수"
"1904419","1","배타적 경제수역에서의 외국인어업 등에 대한 주권적 권리의 행사에 관한 법률 일부개...","PRC_G1W3H0M4U0Z5U1L6D0F7C5U8O4F7O1","의원","2013-04-05","","","1","소관위접수"
"1904420","1","국가재정법 일부개정법률안(최규성의원 등 11인)","PRC_Q1S3U0W4V0S5D1S6O1T5D3X3U7K3K0","의원","2013-04-05","","","1","소관위접수"
"1904421","1","조세특례제한법 일부개정법률안(이재영의원 등 10인)","PRC_I1U3O0K4W0C5Q1F6M2R5S5B3B7X8D0","의원","2013-04-05","","","0","소관위접수"
"1904422","1","문화재보호법 일부개정법률안(한선교의원 등 11인)","PRC_P1X3T0D4I0V5K1G7D3N0M3W1N9V7E7","의원","2013-04-05","","","1","소관위접수"
"1904423","1","궤도운송법 일부개정법률안(이노근의원 등 10인)","PRC_U1O3F0A4G0U5C1T7D3M8F2O3T9F2I5","의원","2013-04-05","","","0","소관위접수"
"1904424","1","남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김성태의원 등 10인)","PRC_B1F3Q0C4F0S5I1Q8F0U2Q3V9O3A3C2","의원","2013-04-05","","","1","소관위접수"
"1904425","1","고용정책 기본법 일부개정법률안(김성태의원 등 10인)","PRC_K1X3Y0M4M0X5J1Q8K0I5R3A7F4G9M2","의원","2013-04-05","","","1","소관위접수"
"1904426","1","유료도로법 일부개정법률안(문병호의원 등 10인)","PRC_E1T3O0D4Y0W8H1Q1Q0T3G3T4T0N2U7","의원","2013-04-08","","","1","소관위접수"
"1904427","1","공공기관의 운영에 관한 법률 일부개정법률안(윤명희의원 등 14인)","PRC_V1R3A0E4V0G8O1J1Z5I1X3Q3G8W9N9","의원","2013-04-08","","","1","소관위접수"
"1904428","1","여객자동차 운수사업법 일부개정법률안(김기선의원 등 12인)","PRC_Y1B3M0F4S0B8N1N1D5Y6W3Z3L8B1O8","의원","2013-04-08","","","1","소관위접수"
"1904429","1","병역법 일부개정법률안(백군기의원 등 11인)","PRC_I1L3P0A4J0F8U1J3E1Q0O2E9K4C1W3","의원","2013-04-08","","","1","소관위접수"
"1904430","1","한국농어촌공사 및 농지관리기금법 일부개정법률안","ARC_L1N3O0C4K0L8G1U4H1B9F0Z6T9L3H2","정부","2013-04-08","","","1","소관위접수"
